id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage,new_cases_per_million_habitants,new_deaths_per_million_habitants,total_cases_per_million_habitants,total_deaths_per_million_habitants
100309,Spain,2020-08-01,288522.00,38863.00,28445.00,81.00,89.00,830.7660170161778,1.7315196299387696,6167.672921841898,608.0626651062753
100340,Spain,2020-09-01,470973.00,182451.00,29152.00,707.00,88.40,3900.2159012587463,15.113387387243336,10067.888823100644,623.1760524935187
100370,Spain,2020-10-01,778607.00,307634.00,31973.00,2821.00,89.00,6576.226047365228,60.30391205008974,16644.11487046587,683.4799645436084
100401,Spain,2020-11-01,1185678.00,407071.00,35878.00,3905.00,88.00,8701.869472577839,83.47634759149254,25345.98434304371,766.9563121351009
100431,Spain,2020-12-01,1656444.00,470766.00,45511.00,9633.00,85.50,10063.4638284908,205.92257524938478,35409.44817153451,972.8788873844858
100462,Spain,2021-01-01,1928265.00,271821.00,50837.00,5326.00,88.50,5810.659226291189,113.8527598648628,41220.1073978257,1086.7316472493485
100493,Spain,2021-02-01,2822805.00,894540.00,59081.00,8244.00,87.00,19122.389750190458,176.2302201137681,60342.497148016155,1262.9618673631167
100521,Spain,2021-03-01,3204531.00,381726.00,69609.00,10528.00,86.75,8160.0748426914415,225.05479832093044,68502.5719907076,1488.016665684047
100552,Spain,2021-04-01,3291394.00,86863.00,75541.00,5932.00,89.00,1856.8517236465598,126.80709191107138,70359.42371435415,1614.8237575951184
100582,Spain,2021-05-01,3524077.00,232683.00,78216.00,2675.00,87.00,4974.014593247442,57.182901359088994,75333.4383076016,1672.0066589542075
100613,Spain,2021-06-01,3682778.00,158701.00,79983.00,1767.00,84.75,3392.5172443322554,37.772780075330935,78725.95555193385,1709.7794390295385
100643,Spain,2021-07-01,3821305.00,138527.00,80883.00,900.00,84.20,2961.2619725497275,19.239106999319663,81687.21752448358,1729.018546028858
100674,Spain,2021-08-01,4447044.00,625739.00,81486.00,603.00,84.00,13376.288416274763,12.890201689544174,95063.50594075835,1741.9087477184023
102475,Sweden,2020-03-01,14.00,13.00,,,1.00,1.2761365026281541,,1.374300848984166,
102506,Sweden,2020-04-01,5320.00,5306.00,455.00,,5.25,520.8600217649989,,522.2343226139831,44.66477759198539
102536,Sweden,2020-05-01,22133.00,16813.00,2653.00,2198.00,3.00,1650.4371552836271,215.76523329051403,2172.67147789761,260.43001088249946
102567,Sweden,2020-06-01,39309.00,17176.00,4403.00,1750.00,5.50,1686.0708130108596,171.78760612302074,3858.74229090847,432.2176170055202
102597,Sweden,2020-07-01,68608.00,29299.00,5370.00,967.00,,2876.1171838847913,94.92492292626346,6734.859474793261,527.1425399317836
102628,Sweden,2020-08-01,77379.00,8771.00,5743.00,373.00,,860.9994818885799,36.61530119079242,7595.858956681841,563.757841122576
102659,Sweden,2020-09-01,84521.00,7142.00,5813.00,70.00,7.50,701.0897616746366,6.871504244920829,8296.948718356478,570.6293453674969
102689,Sweden,2020-10-01,93615.00,9094.00,5893.00,80.00,9.00,892.7065657615717,7.853147708480948,9189.65528411805,578.4824930759778
102720,Sweden,2020-11-01,124355.00,30740.00,5938.00,45.00,12.00,3017.5720069838044,4.417395586020533,12207.227291101854,582.8998886619984
102750,Sweden,2020-12-01,260758.00,136403.00,6681.00,743.00,16.00,13389.911335999084,72.9361093425168,25597.13862710094,655.8359980045152
102781,Sweden,2021-01-01,437379.00,176621.00,8727.00,2046.00,29.00,17337.885017745168,200.84425264440026,42935.02364484611,856.6802506489154
102812,Sweden,2021-02-01,566957.00,129578.00,11591.00,2864.00,33.00,12719.939672119304,281.14268796361796,55654.96331696541,1137.8229386125333
102840,Sweden,2021-03-01,657309.00,90352.00,12826.00,1235.00,36.50,8869.345021958383,121.23296774967463,64524.308338923795,1259.055906362208
102871,Sweden,2021-04-01,813191.00,155882.00,13498.00,672.00,43.00,15302.05463866784,65.96644075123996,79826.36297759163,1325.022347113448
102901,Sweden,2021-05-01,973604.00,160413.00,14048.00,550.00,43.00,15746.837292006929,53.990390495806516,95573.20026959856,1379.0127376092544
102932,Sweden,2021-06-01,1068473.00,94869.00,14451.00,403.00,32.67,9312.753374448488,39.56023158147278,104885.95364404705,1418.5729691907272
102962,Sweden,2021-07-01,1090553.00,22080.00,14630.00,179.00,23.00,2167.4687675407417,17.571417997726122,107053.42241158779,1436.1443871884533
102993,Sweden,2021-08-01,1100040.00,9487.00,14655.00,25.00,22.00,931.2851538794844,2.4541086589002963,107984.70756546728,1438.5984958473537
111626,United Kingdom,2020-03-01,94.00,92.00,,,2.50,1.3453860424387403,,1.374633565100452,
111657,United Kingdom,2020-04-01,43789.00,43695.00,3130.00,,10.25,638.9852513517474,,640.3598849168478,45.77237296557888
111687,United Kingdom,2020-05-01,183501.00,139712.00,27454.00,24324.00,18.00,2043.1149430565358,355.70837061173825,2683.4748279733835,401.4807435773171
111718,United Kingdom,2020-06-01,258983.00,75482.00,37613.00,10159.00,26.33,1103.830752775663,148.56279136016482,3787.3055807490464,550.0435349374819
111748,United Kingdom,2020-07-01,285279.00,26296.00,40576.00,2963.00,50.00,384.54642795618605,43.33020482332595,4171.852008705233,593.3737397608079
111779,United Kingdom,2020-08-01,305562.00,20283.00,41287.00,711.00,71.33,296.61375107374965,10.397494306238526,4468.465759778982,603.7712340670464
