id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage
10027,Arizona,2020-09-01,493046.00,202375,11804.00,5048,67.97
1613,Arkansas,2020-04-01,624.00,624,10.00,10,27.57
3263,Arkansas,2020-05-01,3934.00,3310,74.00,64,38.19
4968,Arkansas,2020-06-01,11377.00,7443,207.00,133,36.90
6618,Arkansas,2020-07-01,32574.00,21197,484.00,277,58.26
8323,Arkansas,2020-08-01,75747.00,43173,942.00,458,59.00
10028,Arkansas,2020-09-01,137244.00,61497,1756.00,814,60.20
1614,California,2020-04-01,9893.00,9857,212.00,212,38.07
3264,California,2020-05-01,62211.00,52318,2359.00,2147,45.23
4969,California,2020-06-01,177854.00,115643,6646.00,4287,48.70
6619,California,2020-07-01,417618.00,239764,12814.00,6168,74.29
8324,California,2020-08-01,927125.00,509507,22179.00,9365,74.61
10029,California,2020-09-01,1643755.00,716630,35328.00,13149,72.47
1615,Colorado,2020-04-01,3346.00,3346,80.00,80,31.10
251,Utah,2020-04-01,1.00,1,0.00,0,
3265,Colorado,2020-05-01,19007.00,15661,898.00,818,45.71
4970,Colorado,2020-06-01,45570.00,26563,2356.00,1458,48.00
6620,Colorado,2020-07-01,78582.00,33012,4053.00,1697,61.13
8325,Colorado,2020-08-01,125939.00,47357,5899.00,1846,61.71
10030,Colorado,2020-09-01,184057.00,58118,7852.00,1953,63.57
1616,Connecticut,2020-04-01,3557.00,3557,85.00,85,22.97
3266,Connecticut,2020-05-01,32321.00,28764,2424.00,2339,47.68
4971,Connecticut,2020-06-01,75061.00,42740,6388.00,3964,55.40
6621,Connecticut,2020-07-01,121633.00,46572,10712.00,4324,78.55
8326,Connecticut,2020-08-01,171443.00,49810,15144.00,4432,73.35
10031,Connecticut,2020-09-01,224449.00,53006,19610.00,4466,71.37
1617,Delaware,2020-04-01,368.00,368,11.00,11,25.47
3267,Delaware,2020-05-01,5286.00,4918,170.00,159,36.39
4972,Delaware,2020-06-01,14891.00,9605,538.00,368,39.83
6622,Delaware,2020-07-01,26401.00,11510,1047.00,509,65.74
8327,Delaware,2020-08-01,41278.00,14877,1632.00,585,68.42
10032,Delaware,2020-09-01,58813.00,17535,2237.00,605,70.90
1618,District of Columbia,2020-04-01,586.00,586,11.00,11,25.63
3268,District of Columbia,2020-05-01,5244.00,4658,242.00,231,36.39
4973,District of Columbia,2020-06-01,14101.00,8857,710.00,468,39.87
6623,District of Columbia,2020-07-01,24466.00,10365,1263.00,553,69.39
8328,District of Columbia,2020-08-01,36671.00,12205,1848.00,585,71.77
10033,District of Columbia,2020-09-01,50720.00,14049,2455.00,607,72.33
1619,Florida,2020-04-01,7771.00,7769,100.00,100,35.03
3269,Florida,2020-05-01,42491.00,34720,1413.00,1313,43.45
4974,Florida,2020-06-01,99313.00,56822,3872.00,2459,45.10
6624,Florida,2020-07-01,258302.00,158989,7421.00,3549,66.90
8329,Florida,2020-08-01,738322.00,480020,14442.00,7021,71.65
10034,Florida,2020-09-01,1369354.00,631032,25815.00,11373,65.93
1620,Georgia,2020-04-01,4747.00,4747,154.00,154,24.60
3270,Georgia,2020-05-01,31183.00,26436,1307.00,1153,32.13
4975,Georgia,2020-06-01,76940.00,45757,3364.00,2057,34.77
6625,Georgia,2020-07-01,156529.00,79589,6143.00,2779,57.61
8330,Georgia,2020-08-01,331363.00,174834,9887.00,3744,59.97
10035,Georgia,2020-09-01,587907.00,256544,15491.00,5604,58.27
1622,Hawaii,2020-04-01,258.00,258,1.00,1,34.10
3272,Hawaii,2020-05-01,868.00,610,17.00,16,42.52
4977,Hawaii,2020-06-01,1510.00,642,34.00,17,46.40
6627,Hawaii,2020-07-01,2419.00,909,52.00,18,78.10
8332,Hawaii,2020-08-01,4593.00,2174,77.00,25,77.58
10037,Hawaii,2020-09-01,13221.00,8628,150.00,73,73.77
1623,Idaho,2020-04-01,669.00,669,9.00,9,20.80
3273,Idaho,2020-05-01,2704.00,2035,72.00,63,28.03
4978,Idaho,2020-06-01,5612.00,2908,155.00,83,34.00
6628,Idaho,2020-07-01,11991.00,6379,247.00,92,44.35
8333,Idaho,2020-08-01,33222.00,21231,444.00,197,41.06
10038,Idaho,2020-09-01,65925.00,32703,814.00,370,42.60
1624,Illinois,2020-04-01,6983.00,6978,146.00,146,21.63
3274,Illinois,2020-05-01,63038.00,56055,2610.00,2464,30.87
4979,Illinois,2020-06-01,184704.00,121666,8068.00,5458,32.40
6629,Illinois,2020-07-01,330245.00,145541,15228.00,7160,65.65
8334,Illinois,2020-08-01,512477.00,182232,22935.00,7707,61.52
10039,Illinois,2020-09-01,751592.00,239115,31234.00,8299,64.63
1625,Indiana,2020-04-01,2578.00,2578,80.00,80,22.67
3275,Indiana,2020-05-01,21519.00,18941,1255.00,1175,23.71
4980,Indiana,2020-06-01,57203.00,35684,3397.00,2142,19.63
6630,Indiana,2020-07-01,104319.00,47116,6047.00,2650,52.71
8335,Indiana,2020-08-01,173092.00,68773,9018.00,2971,61.90
10040,Indiana,2020-09-01,270080.00,96988,12330.00,3312,59.23
1626,Iowa,2020-04-01,549.00,549,9.00,9,21.63
3276,Iowa,2020-05-01,8432.00,7883,179.00,170,24.61
4981,Iowa,2020-06-01,28221.00,19789,737.00,558,30.50
6631,Iowa,2020-07-01,57839.00,29618,1454.00,717,50.48
8336,Iowa,2020-08-01,103132.00,45293,2328.00,874,48.61
10041,Iowa,2020-09-01,168978.00,65846,3453.00,1125,48.10
1627,Kansas,2020-04-01,489.00,489,11.00,11,25.00
3277,Kansas,2020-05-01,4999.00,4510,147.00,136,24.61
4982,Kansas,2020-06-01,15102.00,10103,364.00,217,30.50
6632,Kansas,2020-07-01,30244.00,15142,644.00,280,50.84
8337,Kansas,2020-08-01,58391.00,28147,1002.00,358,49.58
10042,Kansas,2020-09-01,101882.00,43491,1456.00,454,55.37
1628,Kentucky,2020-04-01,674.00,674,20.00,20,17.20
3278,Kentucky,2020-05-01,5553.00,4879,268.00,248,25.52
4983,Kentucky,2020-06-01,15703.00,10150,713.00,445,36.87
6633,Kentucky,2020-07-01,31817.00,16114,1310.00,597,73.61
8338,Kentucky,2020-08-01,63429.00,31612,2068.00,758,70.48
10043,Kentucky,2020-09-01,115191.00,51762,3051.00,983,63.30
1629,Louisiana,2020-04-01,6424.00,6424,275.00,275,27.63
3279,Louisiana,2020-05-01,35178.00,28754,2245.00,1970,38.19
4984,Louisiana,2020-06-01,75630.00,40452,5046.00,2801,36.90
6634,Louisiana,2020-07-01,135916.00,60286,8284.00,3238,56.87
8339,Louisiana,2020-08-01,252310.00,116394,12233.00,3949,58.06
10044,Louisiana,2020-09-01,401893.00,149583,17217.00,4984,57.53
1630,Maine,2020-04-01,344.00,344,7.00,7,22.97
3280,Maine,2020-05-01,1467.00,1123,62.00,55,47.68
4985,Maine,2020-06-01,3816.00,2349,151.00,89,55.40
6635,Maine,2020-07-01,7110.00,3294,256.00,105,70.97
8340,Maine,2020-08-01,11047.00,3937,379.00,123,65.03
10045,Maine,2020-09-01,15595.00,4548,511.00,132,61.10
1631,Maryland,2020-04-01,1985.00,1985,33.00,33,23.87
3281,Maryland,2020-05-01,25551.00,23566,1225.00,1192,36.35
4986,Maryland,2020-06-01,79586.00,54035,3777.00,2552,39.87
6636,Maryland,2020-07-01,148088.00,68502,6982.00,3205,71.10
8341,Maryland,2020-08-01,238013.00,89925,10488.00,3506,73.42
10046,Maryland,2020-09-01,347366.00,109353,14249.00,3761,71.90
1632,Massachusetts,2020-04-01,7740.00,7738,122.00,122,23.10
3282,Massachusetts,2020-05-01,72051.00,64311,3838.00,3716,47.68
4987,Massachusetts,2020-06-01,172856.00,100805,10873.00,7035,55.40
6637,Massachusetts,2020-07-01,281999.00,109143,18954.00,8081,79.65
8342,Massachusetts,2020-08-01,400039.00,118040,27580.00,8626,74.65
10047,Massachusetts,2020-09-01,528927.00,128888,36644.00,9064,71.70
1633,Michigan,2020-04-01,9292.00,9292,336.00,336,30.23
3283,Michigan,2020-05-01,51640.00,42348,4202.00,3866,37.42
4988,Michigan,2020-06-01,110075.00,58435,9727.00,5525,37.40
6638,Michigan,2020-07-01,181354.00,71279,15929.00,6202,74.65
8343,Michigan,2020-08-01,272804.00,91450,22389.00,6460,73.94
10048,Michigan,2020-09-01,386773.00,113969,29159.00,6770,65.03
1634,Minnesota,2020-04-01,689.00,689,17.00,17,21.70
3284,Minnesota,2020-05-01,6419.00,5730,388.00,371,24.61
4989,Minnesota,2020-06-01,31637.00,25218,1448.00,1060,30.50
6639,Minnesota,2020-07-01,68390.00,36753,2930.00,1482,59.32
8344,Minnesota,2020-08-01,123618.00,55228,4576.00,1646,57.71
10049,Minnesota,2020-09-01,200022.00,76404,6448.00,1872,61.83
1635,Mississippi,2020-04-01,1073.00,1073,22.00,22,18.03
3285,Mississippi,2020-05-01,8285.00,7212,303.00,281,27.84
4990,Mississippi,2020-06-01,24037.00,15752,1042.00,739,30.77
6640,Mississippi,2020-07-01,51937.00,27900,2124.00,1082,42.48
8345,Mississippi,2020-08-01,111818.00,59881,3817.00,1693,53.03
10050,Mississippi,2020-09-01,195402.00,83584,6310.00,2493,60.97
1636,Missouri,2020-04-01,1580.00,1580,21.00,21,21.83
3286,Missouri,2020-05-01,9420.00,7840,376.00,355,26.23
4991,Missouri,2020-06-01,22943.00,13523,1162.00,786,34.67
6641,Missouri,2020-07-01,45538.00,22595,2211.00,1049,59.74
8346,Missouri,2020-08-01,97550.00,52012,3522.00,1311,47.43
